id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
13188,Rental unit in Vancouver · ★4.84 · Studio · 2 beds · 1 bath,51466,Ian And Emma,,Riley Park,49.24773,-123.10509,entire home/apt,150.0,2,283,2023-11-28,1.68,1,0,30,23-156488,4.84
13221,Rental unit in Vancouver · ★4.73 · 1 bedroom · 2 beds · 1 bath,51634,Amanda,,Riley Park,49.25489,-123.09708,entire home/apt,120.0,31,15,2017-12-19,0.15,1,363,0,,4.73
13358,Condo in Vancouver · ★4.68 · 1 bedroom · 1 bed · 1 bath,52116,Lynn,,Downtown,49.28117370605469,-123.1259307861328,entire home/apt,165.0,1,493,2023-12-11,3.0,1,0,55,22-311727,4.68
13490,Rental unit in Vancouver · ★4.93 · 1 bedroom · 1 bed · 1 bath,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,entire home/apt,150.0,30,101,2023-11-16,0.66,1,92,5,,4.93
14267,Home in Vancouver · ★4.76 · 1 bedroom · 2 beds · 1 bath,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,entire home/apt,150.0,3,33,2021-07-14,0.21,1,17,0,21-156500,4.76
16254,Guest suite in Vancouver · ★4.57 · 2 bedrooms · 3 beds · 1 bath,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,entire home/apt,800.0,5,7,2022-07-30,0.11,1,0,0,,4.57
16611,Home in Vancouver · ★4.0 · 3 bedrooms · 4 beds · 1 bath,58512,Q,,Grandview-Woodland,49.26339,-123.07145,entire home/apt,100.0,365,3,2018-02-16,0.04,5,89,0,,4.0
17765,Rental unit in Vancouver · ★4.60 · 1 bedroom · 1 bed · 1 bath,68672,James,,Mount Pleasant,49.26132,-123.10845,entire home/apt,,5,203,2021-10-01,1.49,1,0,0,21-156705,4.6
18024,Home in Vancouver · 3 bedrooms · 3 beds · 1 private bath,69472,Raine,,Kensington-Cedar Cottage,49.24781,-123.07241,private room,,30,0,,,1,0,0,,4.799709437963944
18270,Condo in Vancouver · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,70437,Ran,,Mount Pleasant,49.26557,-123.096,private room,51.0,30,118,2019-12-31,0.76,1,234,0,,4.54
18589,Home in Vancouver · ★4.98 · 1 bedroom · 1 bed · 1 private bath,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,private room,99.0,1,514,2023-12-09,3.37,1,0,59,23-156346,4.98
